brand,model,year,mileage,engine_capacity,transmission,body_type,fuel_type,color,doors,price_usd
Audi,A4,2002,102795,2.4,Robot,SUV,Petrol,Grey,2,41594.6
Ford,Focus,2006,84076,1.6,Automatic,Hatchback,Hybrid,Red,4,41104.83
Kia,Cerato,2011,203664,3.5,Automatic,Coupe,Electric,Black,2,41930.47
Honda,CR-V,2001,214532,3.5,Manual,SUV,Electric,Brown,2,38817.15
Ford,Focus,2012,166981,3.0,CVT,SUV,Petrol,Grey,3,34830.33
Ford,Kuga,2009,224786,2.0,Automatic,SUV,Petrol,Blue,3,26741.68
Hyundai,Solaris,2008,39298,3.5,Robot,Sedan,Hybrid,Grey,2,45731.18
Kia,Sorento,2000,242804,1.8,Automatic,Wagon,Petrol,Brown,2,17278.72
Audi,Q7,2002,275987,2.4,Automatic,Sedan,Petrol,Red,4,27334.38
Toyota,Corolla,2021,199938,2.0,Manual,SUV,Electric,Black,5,46134.02
Hyundai,Santa Fe,2020,160775,2.5,Robot,Wagon,Diesel,Brown,3,37072.98
Honda,Civic,2008,266979,2.7,Automatic,Sedan,Petrol,White,2,28542.64
BMW,3 Series,2005,56178,1.6,CVT,Sedan,Diesel,Black,5,43977.15
Honda,CR-V,2012,168964,2.0,Robot,Sedan,Diesel,White,3,26458.06
Volkswagen,Tiguan,2016,151456,1.2,Manual,SUV,Hybrid,White,2,47732.59
Ford,Mondeo,2016,191172,5.0,Manual,SUV,Petrol,Green,2,48024.87
BMW,3 Series,2020,38765,1.0,CVT,Coupe,Petrol,Grey,3,55245.72
Toyota,Corolla,2007,92193,3.0,CVT,Hatchback,Diesel,Black,3,36601.16
Toyota,Camry,2011,106884,4.0,Automatic,SUV,Petrol,White,5,50575.7
Ford,Kuga,2004,81317,3.0,Automatic,Hatchback,Diesel,Black,3,31139.25
Honda,Civic,2005,250875,4.0,CVT,Hatchback,Hybrid,White,2,32878.34
Mercedes,E-Class,2023,216464,2.5,Manual,Wagon,Electric,Brown,2,53366.9
BMW,X3,2022,211791,5.0,CVT,Wagon,Electric,Grey,5,61482.44
Kia,Sportage,2002,28732,2.5,CVT,SUV,Petrol,Blue,3,33932.23
Audi,A6,2000,147979,2.5,Automatic,Hatchback,Petrol,Red,3,27285.9
Kia,Cerato,2014,174293,5.0,Robot,SUV,Hybrid,Brown,2,49001.58
Mercedes,GLC,2014,111317,4.0,Automatic,Wagon,Hybrid,Red,5,50137.75
Honda,Civic,2013,146106,2.2,CVT,SUV,Hybrid,Green,3,40053.98
BMW,X3,2022,141339,2.5,CVT,Sedan,Petrol,Green,3,52873.57
Nissan,Teana,2011,266776,1.0,Manual,Wagon,Petrol,Grey,3,23781.03
Mercedes,GLC,2021,210977,5.0,Robot,Sedan,Electric,Silver,3,68650.07
Kia,Rio,2005,185625,1.2,CVT,SUV,Petrol,Red,2,22216.97
Mercedes,E-Class,2010,261949,4.0,CVT,Sedan,Hybrid,Silver,4,39335.21
Hyundai,Solaris,2003,271255,5.0,Automatic,Hatchback,Electric,Grey,4,37263.86
Toyota,Camry,2023,275378,4.0,Manual,Hatchback,Hybrid,Silver,5,48696.76
Nissan,X-Trail,2012,137541,2.5,Automatic,Wagon,Hybrid,Grey,2,39621.63
Toyota,Camry,2013,241983,1.8,Manual,SUV,Hybrid,Grey,2,43089.1
BMW,3 Series,2005,242353,2.2,Automatic,Coupe,Hybrid,Black,5,37830.75
Mercedes,C-Class,2004,108872,1.0,Manual,SUV,Hybrid,Brown,3,36879.36
Ford,Kuga,2016,83524,4.0,Robot,Wagon,Diesel,Red,2,47834.03
BMW,X3,2000,136487,1.8,Robot,Coupe,Electric,Silver,2,38504.63
Audi,A6,2002,15524,1.6,CVT,SUV,Diesel,Black,3,47002.07
Kia,Cerato,2007,190279,2.0,Robot,SUV,Petrol,Red,2,26438.08
Ford,Kuga,2014,150168,1.0,Manual,Hatchback,Diesel,Blue,5,31686.13
Volkswagen,Passat,2002,96646,1.4,Robot,Hatchback,Electric,Grey,4,29263.51
Toyota,Land Cruiser,2006,131994,1.5,Manual,Sedan,Petrol,Blue,2,26039.03
Mercedes,E-Class,2001,32265,1.6,CVT,Hatchback,Petrol,Red,3,38622.14
Mercedes,C-Class,2023,232604,2.2,Manual,Coupe,Hybrid,Grey,5,57785.24
Nissan,X-Trail,2004,71315,2.7,Automatic,Hatchback,Electric,Red,3,48538.89
Hyundai,Tucson,2014,76077,2.7,Robot,Hatchback,Petrol,Brown,3,38529.8
Hyundai,Santa Fe,2010,170987,1.5,Robot,Wagon,Petrol,Brown,2,25024.59
Hyundai,Tucson,2009,27632,3.0,CVT,Hatchback,Petrol,Red,4,40865.48
Volkswagen,Tiguan,2022,34560,4.0,Manual,Coupe,Diesel,Red,5,59093.64
Volkswagen,Tiguan,2000,100158,1.8,CVT,SUV,Electric,Green,2,43181.75
Nissan,Patrol,2020,13224,1.4,CVT,Wagon,Petrol,Black,4,43017.99
Volkswagen,Passat,2006,126161,2.7,Automatic,SUV,Petrol,Brown,4,37109.49
Mercedes,E-Class,2020,218967,1.0,Manual,Coupe,Hybrid,Silver,3,38116.06
Nissan,Patrol,2017,158768,2.0,Manual,Wagon,Petrol,White,5,31920.09
Hyundai,Solaris,2006,206592,3.5,Automatic,SUV,Hybrid,Brown,4,34719.19
Toyota,Corolla,2015,93607,1.4,Automatic,Sedan,Diesel,Silver,4,48078.0
Toyota,Camry,2005,186240,2.2,Manual,SUV,Electric,Black,3,42579.29
BMW,5 Series,2001,183675,1.0,CVT,Wagon,Electric,Black,4,31243.11
Ford,Kuga,2023,292822,2.7,CVT,Coupe,Electric,Red,2,48143.92
Audi,Q5,2018,155232,3.0,CVT,Hatchback,Hybrid,Brown,5,52759.62
Mercedes,GLE,2004,121300,4.0,CVT,Hatchback,Hybrid,Black,4,47106.24
Toyota,RAV4,2020,184466,3.5,CVT,Wagon,Petrol,Grey,3,35178.55
Honda,CR-V,2022,207990,3.0,Robot,Coupe,Petrol,Red,5,36826.62
Kia,Cerato,2020,138155,1.4,Robot,Hatchback,Diesel,Grey,5,37959.74
Ford,Focus,2017,35954,1.0,Automatic,Sedan,Electric,Black,2,44581.77
Kia,Sportage,2008,148757,2.7,Automatic,Wagon,Diesel,Black,2,29651.44
Volkswagen,Passat,2020,188456,1.8,Automatic,Sedan,Petrol,White,3,33443.22
Nissan,Patrol,2022,48756,2.5,Automatic,Coupe,Hybrid,White,4,56350.01
Kia,Rio,2006,224137,3.5,Manual,Hatchback,Petrol,Grey,3,28884.48
Nissan,Teana,2001,101371,1.8,CVT,Sedan,Hybrid,Blue,5,30397.47
Mercedes,C-Class,2006,228071,1.4,Automatic,Hatchback,Hybrid,Green,5,36985.05
Volkswagen,Passat,2004,59129,1.5,CVT,Wagon,Hybrid,Silver,5,36745.71
Honda,Civic,2001,132596,2.4,Manual,Sedan,Petrol,White,2,23871.8
Hyundai,Elantra,2006,24354,1.4,Automatic,Coupe,Electric,Grey,4,45858.02
BMW,3 Series,2011,245690,2.7,Manual,Coupe,Petrol,Black,2,31105.87
Ford,Focus,2014,151563,4.0,Robot,SUV,Electric,Green,2,54383.57
Volkswagen,Touareg,2017,193624,3.0,CVT,SUV,Diesel,White,2,45446.03
Nissan,X-Trail,2009,29711,2.0,Manual,Hatchback,Petrol,Red,3,34725.23
Ford,Focus,2018,204615,1.2,CVT,Coupe,Diesel,Green,3,31807.18
Mercedes,GLC,2002,37265,2.7,Automatic,Sedan,Diesel,Green,5,41519.19
Honda,CR-V,2004,134055,2.5,CVT,Wagon,Hybrid,Green,5,31636.56
Toyota,Land Cruiser,2021,115608,3.5,Automatic,Sedan,Electric,Blue,3,53437.91
BMW,5 Series,2001,125341,2.7,CVT,Coupe,Petrol,Black,5,37935.08
BMW,X3,2006,16371,3.5,Automatic,Sedan,Petrol,Red,2,60559.91
Kia,Cerato,2006,250195,1.6,Manual,Sedan,Hybrid,Blue,3,24870.01
Hyundai,Elantra,2017,186691,1.2,Automatic,Coupe,Petrol,Brown,2,30433.6
Mercedes,GLE,2004,238506,3.0,Automatic,SUV,Diesel,Blue,3,33458.81
Kia,Sportage,2019,193283,2.7,Robot,Wagon,Petrol,Green,3,36324.65
Nissan,X-Trail,2001,246584,2.5,Manual,Sedan,Diesel,Silver,5,27775.32
Volkswagen,Golf,2004,73781,5.0,CVT,Sedan,Petrol,Silver,5,47585.16
Toyota,Land Cruiser,2002,159903,1.4,Automatic,Coupe,Electric,Blue,4,29048.96
Kia,Rio,2003,34701,1.6,Automatic,SUV,Petrol,Brown,4,33971.24
BMW,3 Series,2001,288075,2.5,Manual,Sedan,Petrol,Silver,4,22490.11
Honda,CR-V,2005,152826,1.6,Robot,Hatchback,Diesel,Red,2,27098.44
Audi,A4,2016,125991,3.5,Robot,Coupe,Hybrid,Black,4,47691.09
Hyundai,Santa Fe,2001,249690,3.5,Manual,Sedan,Diesel,Brown,4,23861.83
Kia,Rio,2010,182828,2.4,Manual,Hatchback,Electric,Green,4,37428.31
Volkswagen,Touareg,2006,194692,2.7,Manual,Hatchback,Petrol,Silver,4,25858.61
Audi,A6,2006,92241,1.5,Automatic,Coupe,Petrol,Grey,4,37423.03
Honda,Civic,2013,75418,1.0,Manual,Sedan,Electric,Green,3,46034.96
BMW,X5,2005,76242,4.0,CVT,Hatchback,Petrol,Brown,3,52644.82
Audi,A4,2021,203667,1.5,Automatic,Wagon,Hybrid,Brown,2,47630.93
Volkswagen,Golf,2021,283097,2.2,CVT,Hatchback,Diesel,Red,5,41602.45
Mercedes,GLC,2002,152499,3.5,Robot,Coupe,Hybrid,White,3,46397.96
Nissan,X-Trail,2001,288173,1.2,Manual,Wagon,Petrol,Silver,2,15650.57
Kia,Sportage,2014,41846,3.5,Manual,SUV,Electric,Brown,3,52469.68
BMW,3 Series,2011,224695,3.0,Manual,Coupe,Hybrid,Brown,2,45929.3
Mercedes,E-Class,2018,194488,1.6,CVT,SUV,Petrol,Black,5,46628.29
BMW,X5,2016,238360,2.2,Robot,Hatchback,Hybrid,Grey,5,46046.81
Hyundai,Santa Fe,2013,205390,2.7,Automatic,Hatchback,Electric,Green,4,35062.6
Hyundai,Santa Fe,2002,146323,4.0,CVT,Sedan,Diesel,Red,4,34042.96
Toyota,Camry,2011,34531,2.4,Automatic,Sedan,Electric,Green,3,41547.02
Hyundai,Santa Fe,2010,85708,1.0,Robot,Coupe,Diesel,Red,5,35995.94
Honda,Accord,2014,193118,1.8,Robot,SUV,Petrol,White,2,35681.57
Kia,Rio,2011,169631,5.0,Robot,Wagon,Electric,White,3,49433.61
Hyundai,Santa Fe,2017,194555,1.0,Automatic,Sedan,Petrol,White,2,24989.64
Volkswagen,Tiguan,2013,212977,5.0,Automatic,Hatchback,Hybrid,Grey,2,38594.23
Hyundai,Tucson,2002,215048,1.8,Manual,Sedan,Diesel,Grey,5,20799.81
Mercedes,E-Class,2014,24826,5.0,CVT,SUV,Electric,Brown,5,74010.54
Volkswagen,Passat,2021,205209,5.0,CVT,Sedan,Electric,Black,3,50295.37
BMW,5 Series,2018,151094,4.0,Robot,Coupe,Electric,Blue,4,55258.12
Audi,Q5,2018,220971,1.2,Automatic,Hatchback,Hybrid,Red,2,35932.3
BMW,3 Series,2021,55230,5.0,Manual,Wagon,Petrol,Red,2,64608.74
Nissan,Almera,2023,288107,4.0,Robot,Wagon,Electric,Black,2,63471.6
Nissan,Almera,2001,43585,5.0,Automatic,Wagon,Diesel,Green,3,42722.5
BMW,X3,2021,86652,3.0,CVT,Coupe,Diesel,Brown,2,52310.39
Hyundai,Santa Fe,2015,209373,2.0,Automatic,Wagon,Diesel,Red,3,32226.99
Ford,Focus,2004,176037,3.5,Manual,Wagon,Petrol,Green,3,21353.17
Honda,CR-V,2005,101520,2.7,Manual,Sedan,Electric,Black,4,40926.47
Audi,A4,2000,152999,3.0,Robot,Wagon,Petrol,Green,4,31847.25
Volkswagen,Passat,2015,202332,2.5,Robot,Sedan,Petrol,Blue,5,32496.64
Hyundai,Tucson,2011,213567,1.8,Robot,Wagon,Petrol,Silver,2,26994.81
Toyota,Corolla,2023,26155,2.2,Robot,Wagon,Hybrid,Blue,5,43576.08
Honda,Accord,2001,197576,5.0,Manual,Wagon,Diesel,Blue,2,29095.84
Audi,Q5,2004,160928,1.0,CVT,Wagon,Diesel,Grey,2,25667.28
Honda,CR-V,2010,196733,1.2,Manual,Hatchback,Petrol,White,4,25674.88
Honda,CR-V,2011,79141,1.5,CVT,Coupe,Electric,Brown,3,31160.17
Nissan,Patrol,2022,121863,1.2,Manual,Sedan,Hybrid,Brown,2,49341.98
Volkswagen,Tiguan,2001,48320,2.0,CVT,Hatchback,Hybrid,Black,3,35582.86
Honda,Accord,2016,286233,2.2,CVT,Sedan,Electric,Silver,5,42365.93
Audi,Q7,2004,158056,2.5,Automatic,Wagon,Diesel,Black,5,33816.1
Volkswagen,Tiguan,2008,204456,2.4,Robot,Coupe,Petrol,Blue,2,26871.59
Honda,Civic,2005,29165,1.5,Automatic,SUV,Diesel,Black,3,37060.94
Kia,Sportage,2018,17772,2.7,Manual,Sedan,Petrol,Green,2,42011.24
Audi,Q5,2000,139999,1.0,CVT,Wagon,Diesel,Black,4,22561.96
BMW,X5,2013,287681,4.0,Manual,SUV,Petrol,Black,5,33302.64
Audi,A4,2011,283780,1.2,Robot,Coupe,Hybrid,Grey,5,45353.58
Ford,Mondeo,2013,158059,2.7,CVT,Coupe,Petrol,Green,4,34257.5
BMW,X3,2003,245900,1.8,CVT,Hatchback,Diesel,Blue,5,28370.39
Audi,Q7,2013,167450,3.5,CVT,Wagon,Hybrid,Brown,5,47519.47
Honda,Civic,2012,231513,2.4,Automatic,SUV,Hybrid,Green,5,35511.79
Nissan,X-Trail,2012,63646,2.0,CVT,Sedan,Diesel,Blue,3,39253.66
Volkswagen,Tiguan,2021,238976,3.0,Robot,Coupe,Diesel,Green,4,45667.96
Ford,Mondeo,2021,165140,1.8,Robot,Sedan,Diesel,White,4,33370.36
Nissan,Patrol,2023,119503,1.0,Automatic,SUV,Petrol,Grey,3,50449.48
Hyundai,Tucson,2003,138299,2.0,Automatic,Sedan,Diesel,Silver,5,25878.18
Audi,Q5,2016,246242,3.0,Automatic,Sedan,Hybrid,Blue,2,40192.41
Volkswagen,Touareg,2004,16014,1.4,Robot,SUV,Diesel,White,3,37527.04
Kia,Cerato,2002,4358,1.6,Automatic,SUV,Diesel,Red,2,38187.75
Ford,Focus,2016,193510,2.2,Robot,SUV,Electric,Black,3,36344.88
Mercedes,GLE,2004,110944,1.5,CVT,Sedan,Electric,White,4,44766.61
Volkswagen,Golf,2006,116492,1.0,Robot,Hatchback,Electric,Blue,5,35882.83
Volkswagen,Touareg,2017,74069,1.8,Automatic,Wagon,Diesel,Red,2,36685.26
BMW,5 Series,2022,131733,3.0,Automatic,Wagon,Petrol,Blue,2,45244.77
Nissan,Teana,2022,256911,3.0,Manual,Wagon,Electric,Grey,4,49533.07
Ford,Kuga,2007,29301,1.6,Robot,Wagon,Petrol,White,3,43367.03
Honda,CR-V,2000,76559,3.0,Automatic,Wagon,Diesel,Blue,3,33007.18
Mercedes,C-Class,2022,219249,3.5,Automatic,Sedan,Petrol,Black,4,48388.74
BMW,X5,2022,18073,1.5,Automatic,SUV,Diesel,Silver,4,49701.15
Volkswagen,Touareg,2004,221427,2.5,Robot,Sedan,Diesel,Red,3,30067.5
Nissan,Teana,2013,73861,1.4,Robot,Wagon,Diesel,White,4,41630.42
Audi,Q5,2001,20609,1.4,Automatic,Wagon,Diesel,Brown,3,37099.8
Volkswagen,Golf,2003,204894,4.0,Manual,Coupe,Electric,Silver,4,38138.95
Kia,Cerato,2012,248289,2.2,Manual,Hatchback,Electric,White,4,35399.41
Mercedes,E-Class,2005,60545,3.0,CVT,SUV,Hybrid,Silver,2,54184.88
BMW,5 Series,2009,250497,4.0,CVT,Hatchback,Petrol,Green,5,34973.6
Kia,Sportage,2020,202056,3.0,Automatic,SUV,Hybrid,Brown,5,37165.58
Toyota,Land Cruiser,2003,54823,1.0,Manual,Wagon,Electric,Blue,5,40285.14
Honda,CR-V,2004,32371,5.0,Automatic,Coupe,Hybrid,Green,4,51367.86
Volkswagen,Passat,2006,76373,1.6,Automatic,Hatchback,Diesel,Silver,2,31549.1
Ford,Focus,2000,60428,1.6,Automatic,Hatchback,Petrol,Blue,2,27816.68
Honda,Civic,2012,131743,1.5,Manual,SUV,Petrol,Grey,4,38873.68
Ford,Focus,2003,156193,1.5,Robot,Wagon,Diesel,Brown,4,23310.04
Kia,Rio,2019,292764,1.8,Automatic,Coupe,Diesel,Blue,2,39109.57
Toyota,Camry,2017,28671,3.0,Robot,Coupe,Electric,Silver,4,51010.59
Honda,CR-V,2021,154544,5.0,Manual,Wagon,Hybrid,Brown,2,54610.68
Toyota,RAV4,2004,201548,2.2,Manual,SUV,Petrol,Blue,4,24051.49
Hyundai,Tucson,2023,207888,1.6,Robot,Coupe,Electric,Black,4,39864.34
BMW,X3,2018,64027,1.4,CVT,Hatchback,Petrol,Blue,3,40583.59
Volkswagen,Touareg,2007,136511,2.5,Automatic,Wagon,Petrol,Green,5,33265.74
Honda,CR-V,2017,222146,1.0,Robot,Wagon,Diesel,White,2,34046.59
Kia,Cerato,2022,269054,1.2,Automatic,Coupe,Electric,Grey,4,42440.6
Audi,Q7,2015,9503,3.0,Automatic,SUV,Diesel,Green,2,59852.83
Hyundai,Elantra,2022,176072,2.4,Robot,SUV,Diesel,Grey,3,45591.68
Mercedes,C-Class,2011,84080,2.2,Manual,SUV,Diesel,Brown,3,49311.73
Ford,Kuga,2016,37643,2.4,CVT,Hatchback,Petrol,Blue,3,48977.96
Hyundai,Elantra,2006,225942,3.0,Robot,SUV,Electric,Red,3,36284.64
Kia,Cerato,2012,85457,1.2,Manual,Coupe,Hybrid,Grey,4,39737.47
Ford,Focus,2021,3754,1.6,Manual,Sedan,Electric,Silver,4,59866.29
Volkswagen,Tiguan,2022,182684,4.0,CVT,Wagon,Hybrid,White,5,43504.67
Nissan,Patrol,2007,55147,1.6,CVT,Sedan,Electric,Brown,4,40791.32
Nissan,Teana,2010,68056,2.5,Manual,SUV,Hybrid,Black,2,49046.85
Mercedes,E-Class,2009,19033,2.5,Automatic,Wagon,Petrol,Red,3,37199.38
Kia,Cerato,2020,89464,1.5,CVT,SUV,Hybrid,Green,3,44803.14
Mercedes,E-Class,2023,197621,1.4,Automatic,Coupe,Diesel,Blue,3,35796.58
Hyundai,Tucson,2020,80073,1.8,Automatic,Wagon,Electric,White,2,50798.2
Mercedes,C-Class,2013,69122,2.2,Manual,Hatchback,Hybrid,Grey,5,46568.85
Hyundai,Elantra,2023,16029,1.2,CVT,Wagon,Electric,Silver,2,49810.38
Hyundai,Solaris,2011,152889,1.8,Manual,Wagon,Electric,Silver,5,38670.1
Mercedes,E-Class,2022,137328,2.0,Manual,Hatchback,Hybrid,Grey,2,60215.8
Kia,Sorento,2021,77984,1.0,Automatic,Wagon,Electric,Brown,4,51507.56
Volkswagen,Tiguan,2013,116859,2.7,CVT,Sedan,Diesel,Brown,2,38268.66
Honda,CR-V,2012,243306,1.0,Automatic,Coupe,Diesel,White,4,24509.86
BMW,3 Series,2018,83369,1.4,Automatic,Hatchback,Hybrid,Blue,2,43297.67
Audi,A6,2004,245317,2.5,Robot,Hatchback,Hybrid,White,5,23883.36
Kia,Sorento,2005,125736,1.8,Automatic,Wagon,Electric,Grey,2,37110.46
Mercedes,C-Class,2023,205675,2.5,Automatic,Wagon,Hybrid,Silver,4,56583.74
Hyundai,Elantra,2015,231390,2.5,Manual,Coupe,Diesel,Grey,2,32211.33
Mercedes,E-Class,2010,17073,1.0,CVT,Hatchback,Electric,Brown,4,51647.02
Mercedes,GLE,2014,238511,2.0,Manual,Hatchback,Diesel,Grey,5,41034.97
Nissan,Almera,2017,290372,1.4,CVT,Hatchback,Petrol,Brown,2,26606.8
BMW,X3,2020,29055,3.0,Manual,Coupe,Petrol,White,3,54309.15
Kia,Sportage,2021,281590,1.0,Manual,Coupe,Petrol,Black,5,38144.18
Nissan,X-Trail,2008,45232,1.0,Automatic,Hatchback,Petrol,Black,2,33821.74
Kia,Cerato,2009,65633,1.4,Manual,Wagon,Electric,Green,5,37355.05
Volkswagen,Touareg,2009,148066,1.4,CVT,Sedan,Electric,Brown,4,37774.11
Mercedes,E-Class,2019,5774,2.2,Robot,Coupe,Hybrid,Red,5,69014.4
Kia,Sorento,2016,291262,1.2,Manual,SUV,Electric,Grey,2,44382.44
Ford,Kuga,2017,103850,1.4,Manual,SUV,Hybrid,Brown,5,43403.33
Nissan,Patrol,2023,33243,2.4,Robot,Coupe,Petrol,Brown,4,45714.5
Hyundai,Elantra,2009,208139,1.2,CVT,SUV,Petrol,Silver,4,27181.79
Honda,CR-V,2007,250870,2.2,Manual,Wagon,Electric,Silver,2,38841.33
Volkswagen,Tiguan,2008,62987,2.7,Automatic,Sedan,Hybrid,Blue,4,39102.75
Audi,A4,2012,56481,1.5,Robot,Hatchback,Hybrid,Silver,4,49210.58
BMW,3 Series,2003,155289,4.0,Automatic,Coupe,Hybrid,Blue,5,39451.19
Kia,Sorento,2005,95665,1.8,CVT,Wagon,Electric,White,4,37741.34
Kia,Rio,2023,177109,1.4,Robot,Wagon,Diesel,Black,5,40048.94
Audi,Q7,2023,91353,4.0,Manual,Coupe,Hybrid,Grey,3,58870.21
Nissan,X-Trail,2022,137488,1.6,Robot,SUV,Diesel,Green,4,35139.89
BMW,3 Series,2019,158588,1.2,Automatic,SUV,Electric,Brown,5,47114.3
Mercedes,GLE,2000,21447,2.0,CVT,SUV,Electric,Black,2,52930.29
Volkswagen,Tiguan,2020,186339,3.0,Manual,Sedan,Hybrid,Grey,2,46295.2
Volkswagen,Tiguan,2022,58810,2.7,Automatic,Wagon,Petrol,Brown,3,53506.32
BMW,X3,2013,284154,1.5,Manual,Sedan,Electric,Brown,3,40970.4
Kia,Sportage,2013,15282,1.4,Automatic,SUV,Petrol,Grey,5,45286.23
Ford,Mondeo,2008,273146,3.0,CVT,Sedan,Electric,Silver,4,30616.63
Audi,A4,2003,43472,4.0,Manual,Sedan,Electric,Grey,2,51259.53
Audi,Q5,2008,92493,4.0,Manual,Wagon,Hybrid,Grey,5,51581.59
Volkswagen,Golf,2023,117886,5.0,CVT,Coupe,Diesel,White,5,61098.97
BMW,X3,2013,49812,1.6,Robot,Wagon,Petrol,Silver,5,46156.35
Toyota,Camry,2023,59871,1.0,Robot,Coupe,Hybrid,Green,5,54177.72
Volkswagen,Touareg,2013,288793,1.5,Manual,Coupe,Hybrid,Red,5,36923.88
Ford,Kuga,2003,30795,3.5,CVT,Wagon,Diesel,Brown,3,43779.89
Ford,Focus,2000,163399,2.0,Automatic,Sedan,Diesel,White,2,21353.6
Hyundai,Tucson,2009,111032,3.5,Manual,Sedan,Hybrid,Brown,3,41219.37
